ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
221686_s_at,4.26131022,4.194143143,4.297557826,4.505133358,4.338536869,4.523182283
221687_s_at,3.653573358,3.750201617,3.553566926,4.01834423,4.329121124,3.721603537
221688_s_at,8.038544936,8.411582298,8.147712867,8.493816018,8.405928711,8.570382074
221689_s_at,9.095171996,9.00544155,8.932715062,9.09304802,9.074774476,9.011670254
221692_s_at,7.602993404,7.549158367,7.522596335,8.073895753,7.757654604,7.853297208
221693_s_at,7.031564518,7.053986619,6.893663239,6.868930044,7.205619885,7.218553822
221695_s_at,4.992538275,5.149269524,5.050299301,3.955281785,5.050299301,5.267258467
221697_at,4.437273523,4.507669124,4.290372638,3.802626557,3.81065802,4.084555832
221699_s_at,8.404254744,8.368115833,8.303391202,8.442710392,8.584779837,8.40922752
221700_s_at,10.97972148,10.85509403,10.90352532,10.86656908,10.76362383,10.79404663
221702_s_at,8.742253911,8.673738686,8.758577355,8.630514837,8.6062237,8.486326516
221703_at,4.426641346,4.525594844,4.504653344,4.98873531,5.105758382,4.43336795
221704_s_at,6.126735627,6.310003431,5.888624781,6.379417482,6.426433466,6.169616592
221705_s_at,5.799148683,5.891143419,5.747191419,4.963044008,5.854115101,5.834583868
221706_s_at,6.158813708,5.929384546,6.116500533,6.105526026,5.828868287,6.008090803
221708_s_at,6.391679696,6.203220263,6.220582454,6.417941318,6.099474753,6.173104218
221709_s_at,4.686389634,4.771266046,4.770091029,5.328977125,4.996148615,5.023097579
221710_x_at,4.22155664,4.163071756,4.415959676,4.163435241,4.206874892,4.393359102
221711_s_at,7.04619295,7.097810908,6.945035485,7.209971566,7.149164108,7.110245124
221712_s_at,7.644016234,7.660134012,7.630292372,7.291389006,7.046854824,7.260261902
221713_s_at,4.518398184,4.464689582,4.466277822,4.02720109,4.068879322,3.907026223
221715_at,4.116952885,4.140219429,4.104790444,4.203743895,4.140254707,4.38236572
221718_s_at,4.942111533,4.981389321,4.903644749,3.94516326,4.978695048,4.898273999
221725_at,6.152214051,5.963585522,6.064607937,6.513723673,5.929060429,5.714191128
221726_at,8.918854834,8.607322992,8.735942902,8.815905596,8.754045754,8.749097347
221727_at,6.586990372,6.383827945,6.502606391,6.481699223,6.201268322,6.020128426
221728_x_at,9.56100318,9.319254701,9.647979443,9.619454874,9.692056392,9.511447436
221729_at,4.363266021,4.357310593,4.400082709,4.552897966,4.549341877,4.315360636
221731_x_at,5.976123629,5.758737556,5.707356575,5.541205236,5.8596175,5.655330035
221732_at,7.338545395,7.311092553,7.296834876,7.489297554,7.345194127,7.296133292
221734_at,6.2745694,6.493688465,6.430661424,5.916696734,6.319538866,6.479748271
221735_at,6.535996338,6.389130233,6.46413905,6.575198349,6.68262749,6.733415541
221736_at,4.918345644,5.148908772,4.845386926,5.52182342,5.361186682,5.190102831
221737_at,4.580683867,4.628894782,4.373764334,4.5922471,4.498772741,4.292574855
221738_at,4.079701315,4.409256566,4.156382437,4.45441398,4.5124048,4.623183828
221739_at,8.114173428,8.137804934,8.091188514,8.126777805,7.978902739,8.03841973
221740_x_at,4.765506824,4.349027424,4.641227294,4.50121543,4.310161936,4.31914625
221741_s_at,8.163326852,8.441344305,8.181249946,8.267990988,8.207856592,8.080302803
221742_at,5.686445082,5.749953898,5.653936622,5.693454904,5.887462793,5.779120159
221743_at,8.51381788,8.552524077,8.454505857,8.70829816,8.710865727,8.65733413
221744_at,5.772309151,5.464927071,5.73916459,4.944768343,5.280336032,5.149989137
221746_at,7.073534279,7.160057246,6.915490878,7.219149357,7.076807073,7.078997168
221749_at,7.620212532,8.090567997,7.729872127,7.994282459,8.061287513,7.805108315
221750_at,6.053321432,5.859873776,5.921802812,6.042131267,6.040102669,5.920485193
221751_at,8.066713007,7.985100442,8.032017918,7.996078424,8.125836552,8.037917482
221752_at,4.450446814,4.33478301,4.088371627,4.711802545,4.49636752,4.357434392
221754_s_at,4.736858513,4.464756744,4.752874571,4.632077719,4.457389515,4.813217041
221756_at,4.746687593,4.870876515,4.747646472,4.770541756,4.709220623,4.841647639
221758_at,5.550765422,5.20022365,5.357482359,5.63660739,5.407250642,5.491900938
221759_at,5.431812885,5.0727878,5.295997585,5.402802832,5.259910487,5.33853806
221760_at,7.256891608,7.339231379,7.291379566,6.816141388,7.050315878,6.783971552
221761_at,6.578557219,6.456617626,6.670232012,5.855749827,6.226205319,6.168149488
221762_s_at,5.244246894,5.136924869,5.145231217,5.362897831,5.30066143,5.373764446
221763_at,5.977676079,6.174565083,6.206206048,6.242418793,6.360967905,6.10201755
221764_at,6.214340142,5.950731788,6.188113545,5.846929198,6.196073215,6.023439438
221765_at,3.989650586,4.135247696,3.90736564,3.82690041,4.184049249,4.216202949
221766_s_at,6.162638812,6.122355644,5.894402591,6.379891525,6.2626276,6.126232217
221768_at,4.303636203,4.447244183,4.785076696,4.24143521,4.514191962,4.326631266
221769_at,5.236440015,5.181360369,5.33492704,5.025185232,4.814816356,4.780867443
221770_at,6.524014073,6.610729392,6.583679848,6.742702763,6.726758855,6.609023454
221771_s_at,5.472964934,5.703840421,5.436402925,4.734009632,5.436402925,5.208374329
221772_s_at,6.14049016,6.144076909,6.068168348,6.417546892,6.165838208,6.260469478
