Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
213529_at,14.65077742420962,4.517820786,5.373948221,0.8561274350000003,0.00012628123397915247,0.03860947348824307,ZNF688,146542
240382_at,15.665720480757361,4.676184936,6.318257407,1.6420724709999996,9.697133209574045e-05,0.03860947348824307,LOC101928076,101928076
204504_s_at,-15.378806404159882,7.974628535,7.591195841,-0.3834326939999997,0.00010430784782726831,0.03860947348824307,HIRIP3,8479
238461_at,15.02735905412186,4.530681177,5.111506438,0.5808252610000002,0.00011426336267754544,0.03860947348824307,EIF4E3,317649
209803_s_at,15.203275324806807,5.187443073,6.992443903,1.80500083,0.00010913879023270068,0.03860947348824307,PHLDA2,7262
203569_s_at,-15.673395532440328,6.64745127,6.120639846,-0.5268114239999999,9.678406399978244e-05,0.03860947348824307,OFD1,8481
218683_at,-14.87035847521225,6.870282379,6.22882684,-0.6414555389999999,0.00011909247755919822,0.03860947348824307,PTBP2,58155
242931_at,14.730682702707327,5.147244841,6.176549256,1.0293044150000004,0.0001236042471280101,0.03860947348824307,,
201131_s_at,15.125059884240494,4.805519561,6.665247237,1.8597276760000003,0.00011138112701678131,0.03860947348824307,CDH1,999
220974_x_at,15.10118523319827,4.523892279,5.235491447,0.7115991680000002,0.00011207699848003226,0.03860947348824307,SFXN3,81855
223608_at,15.047052485777668,3.735690738,5.764465278,2.02877454,0.00011367498098716072,0.03860947348824307,EFCAB2,84288
36711_at,14.374016393907478,4.761406306,6.175478916,1.4140726100000007,0.000136130016345288,0.039083053336422556,MAFF,23764
219217_at,-14.398585978607732,7.377582933,6.999000395,-0.37858253799999986,0.00013521783508601225,0.039083053336422556,NARS2,79731
38037_at,14.355814484606492,4.413252712,6.223699756,1.810447044,0.00013681073652679752,0.039083053336422556,HBEGF,1839
202364_at,13.926748275871184,7.805799617,8.366572145,0.5607725279999993,0.0001541594596469854,0.040961578459568194,MXI1,4601
225784_s_at,-13.965896403063438,4.73710664,4.355376442,-0.3817301980000005,0.00015246697180632622,0.040961578459568194,ZC4H2,55906
218905_at,-13.78052538858631,7.014080709,6.779146157,-0.23493455200000035,0.00016069180999890958,0.040961578459568194,INTS8,55656
219863_at,13.830505400739307,6.35755928,7.362030907,1.004471627,0.0001584208968654798,0.040961578459568194,HERC5,51191
219288_at,-13.959628679390487,8.702725726,7.987027855,-0.7156978710000006,0.00015273638176488692,0.040961578459568194,C3orf14,57415
226947_at,-13.883321846780579,4.91582545,4.675925556,-0.23989989399999967,0.00015606438340690058,0.040961578459568194,GUSBP1 /// GUSBP4 /// LOC100996497,375513 /// 728411 /// 100996497
200718_s_at,13.937737149037776,9.958429012,10.33603118,0.377602168000001,0.0001536820259684212,0.040961578459568194,SKP1,6500
214074_s_at,13.648006767338389,4.680776526,5.136355143,0.45557861700000046,0.00016691230614450636,0.04127716418669143,CTTN,2017
218371_s_at,-13.67790327293254,5.546321381,4.620279979,-0.9260414020000001,0.000165483109011056,0.04127716418669143,PSPC1,55269
228095_at,-13.429802581495927,6.878167951,6.206187019,-0.6719809320000003,0.00017782302072319158,0.04148654929678326,PHF14,9678
222995_s_at,-13.337711376060232,7.711348056,7.17564549,-0.5357025660000003,0.0001826936502468162,0.04148654929678326,RHBDD2,57414
223886_s_at,-13.408497921392415,7.525401969,7.194575931,-0.33082603799999966,0.00017893528612831908,0.04148654929678326,RNF146,81847
226565_at,-13.336065705054038,7.791692675,7.413817855,-0.3778748200000006,0.00018278218955067766,0.04148654929678326,TMEM99,147184
