,Age.R,Age.pv,Daily Steps.R,Daily Steps.pv,Heart Rate.R,Heart Rate.pv,Physical Activity Level.R,Physical Activity Level.pv,Quality of Sleep.R,Quality of Sleep.pv,Sleep Duration.R,Sleep Duration.pv,Stress Level.R,Stress Level.pv
Age,,,-0.04187248230445785,0.4194252384721774,-0.25436412282802134,6.19844656695384e-07,0.13568004706066364,0.008606446898262326,0.4178102153067446,3.1120629191378084e-17,0.31236887948383185,6.577941802245156e-10,-0.4256218208903453,6.884534220138215e-18
Sleep Duration,0.31236887948383185,6.577941802245156e-10,0.010086583810612584,0.8458491978996143,-0.6089199331428127,2.5508723014277034e-39,0.20923496761005944,4.5406299828929214e-05,0.8873983708883761,3.6802703650212997e-127,,,-0.8106325605674042,1.746532119029682e-88
Quality of Sleep,0.4178102153067446,3.1120629191378084e-17,0.022779213378418182,0.6605808344543287,-0.7346233355853597,1.202151961199046e-64,0.17846632741434998,0.0005249322396509238,,,0.887398370888376,3.6802703650217187e-127,-0.9081470385599755,9.70742953349951e-143
Physical Activity Level,0.13568004706066364,0.008606446898262326,0.7939755100186756,2.0638017663840308e-82,0.1609421148461129,0.0017936307144146317,,,0.17846632741434998,0.0005249322396509238,0.20923496761005947,4.540629982892895e-05,-0.017497429742025585,0.735907867780667
Stress Level,-0.42562182089034534,6.884534220138067e-18,0.17174383565097648,0.0008528007196680325,0.8202966147022066,2.7274024236674984e-92,-0.017497429742025585,0.735907867780667,-0.9081470385599755,9.70742953349951e-143,-0.8106325605674043,1.7465321190294834e-88,,
Heart Rate,-0.25436412282802134,6.19844656695384e-07,0.09358166677733865,0.07065413634847298,,,0.1609421148461129,0.0017936307144146317,-0.7346233355853599,1.2021519611989434e-64,-0.6089199331428127,2.5508723014277034e-39,0.8202966147022066,2.7274024236674984e-92
Daily Steps,-0.04187248230445786,0.4194252384721775,,,0.09358166677733865,0.07065413634847298,0.7939755100186755,2.0638017663842066e-82,0.022779213378418182,0.6605808344543287,0.010086583810612584,0.8458491978996143,0.17174383565097648,0.0008528007196680325
